order_id,region,customer_segment,category,month,quantity,unit_price,discount,sales,profit
10224,North,Corporate,Furniture,9,4,265.7,0.0,1062.8,223.05
10225,East,Corporate,Office Supplies,4,4,140.04,0.15,476.14,-24.15
10226,South,Corporate,Office Supplies,10,3,410.16,0.2,984.38,153.25
10227,West,Home Office,Technology,9,6,172.67,0.1,932.42,335.44
10228,East,Consumer,Furniture,11,5,290.4,0.1,1306.8,226.38
10229,East,Corporate,Technology,4,4,17.57,0.0,70.28,11.72
10230,North,Consumer,Technology,10,6,172.83,0.2,829.58,178.2
10231,South,Corporate,Office Supplies,6,6,368.54,0.05,2100.68,524.25
10232,West,Consumer,Furniture,3,4,259.41,0.2,830.11,-32.99
10233,North,Corporate,Technology,3,2,190.9,0.1,343.62,-2.83
10234,West,Corporate,Furniture,7,6,393.61,0.0,2361.66,427.53
10235,South,Consumer,Technology,4,6,359.84,0.0,2159.04,191.1
10236,East,Consumer,Technology,2,7,140.75,0.1,886.72,258.22
10237,East,Corporate,Office Supplies,6,2,232.35,0.1,418.23,53.74
10238,South,Corporate,Office Supplies,8,3,209.81,0.0,629.43,-21.06
10239,South,Consumer,Office Supplies,4,7,268.47,0.15,1597.4,53.03
10240,East,Corporate,Office Supplies,12,4,145.65,0.2,466.08,-53.58
